Entidad federativa,Periodo,Trimestre,Brecha en el ingreso entre hombres y mujeres,Ingreso promedio por hora trabajada de la población ocupada de mujeres,Ingreso promedio por hora trabajada de la población ocupada de hombres
Nuevo León,2016,4,-0.1,44.8,44.7
Oaxaca,2016,4,-1.3,26.7,25.4
Puebla,2016,4,2.2,24.9,27.1
Querétaro,2016,4,3,30.8,33.8
Quintana Roo,2016,4,-0.2,39.3,39.1
San Luis Potosí,2016,4,-2.6,32.3,29.7
Sinaloa,2016,4,2,38.7,40.7
Sonora,2016,4,0.6,40.6,41.2
Tabasco,2016,4,-3.9,33.8,29.9
Tamaulipas,2016,4,3,35.5,38.5
Tlaxcala,2016,4,3,26.1,29.1
Veracruz de Ignacio de la Llave,2016,4,0.9,29.6,30.5
Yucatán,2016,4,1.6,30.9,32.5
Zacatecas,2016,4,-4.5,34.7,30.2
Estados Unidos Mexicanos,2017,4,0.4,35.3,35.7
Aguascalientes,2017,4,-1.3,34.2,32.9
Baja California,2017,4,1.8,39.6,41.4
Baja California Sur,2017,4,1.3,51.9,53.2
Campeche,2017,4,-1.4,36.2,34.8
Coahuila de Zaragoza,2017,4,1.5,40.2,41.7
Colima,2017,4,5.3,39.7,45
Chiapas,2017,4,-7.3,28.5,21.2
Chihuahua,2017,4,7.6,40.8,48.4
Ciudad de México,2017,4,0.9,43.7,44.6
Durango,2017,4,-1.8,34.6,32.8
Guanajuato,2017,4,1.1,32.4,33.5
Guerrero,2017,4,0.3,28.6,28.9
Hidalgo,2017,4,1.9,29.5,31.4
Jalisco,2017,4,4.6,36.4,41
México,2017,4,-0.3,31.8,31.5
Michoacán de Ocampo,2017,4,4,32.1,36.1
Morelos,2017,4,2.8,25.8,28.6
Nayarit,2017,4,2.2,37.7,39.9
Nuevo León,2017,4,0.8,45.1,45.9
Oaxaca,2017,4,-1.4,30.8,29.4
Puebla,2017,4,1.4,26.4,27.8
Querétaro,2017,4,2.8,35.2,38
Quintana Roo,2017,4,2,38.4,40.4
San Luis Potosí,2017,4,-2,35.9,33.9
Sinaloa,2017,4,1.7,39.8,41.5
Sonora,2017,4,-1.2,43.7,42.5
Tabasco,2017,4,-3.7,36.2,32.5
Tamaulipas,2017,4,-1.3,40.6,39.3
Tlaxcala,2017,4,1.6,27.7,29.3
Veracruz de Ignacio de la Llave,2017,4,-0.1,29.4,29.3
Yucatán,2017,4,1.1,33.4,34.5
Zacatecas,2017,4,-2.5,34.3,31.8
Estados Unidos Mexicanos,2018,4,0.3,37.5,37.8
Aguascalientes,2018,4,-2.8,36,33.2
Baja California,2018,4,0.7,44.8,45.5
Baja California Sur,2018,4,1.3,55.5,56.8
Campeche,2018,4,-1,34.7,33.7
Coahuila de Zaragoza,2018,4,0.9,42.4,43.3
Colima,2018,4,1.3,46.3,47.6
Chiapas,2018,4,-7.1,31,23.9
Chihuahua,2018,4,-3.1,46.7,43.6
Ciudad de México,2018,4,1.4,46.9,48.3
Durango,2018,4,-0.6,36.1,35.5
Guanajuato,2018,4,4,33,37
Guerrero,2018,4,4,30.8,34.8
Hidalgo,2018,4,-0.3,35.1,34.8
Jalisco,2018,4,6.3,39,45.3
México,2018,4,1,32.5,33.5
Michoacán de Ocampo,2018,4,3.8,34.9,38.7
Morelos,2018,4,0,27.7,27.7
Nayarit,2018,4,4.6,39.1,43.7
Nuevo León,2018,4,0.5,48.1,48.6
Oaxaca,2018,4,1.8,27.6,29.4
Puebla,2018,4,2.1,30,32.1
Querétaro,2018,4,3.4,38.4,41.8
Quintana Roo,2018,4,0.3,42.5,42.8
San Luis Potosí,2018,4,-1.9,39.5,37.6
Sinaloa,2018,4,1,42.4,43.4
Sonora,2018,4,-1.7,48.2,46.5
Tabasco,2018,4,-5,37,32
Tamaulipas,2018,4,-0.3,40.7,40.4
Tlaxcala,2018,4,1.4,28.2,29.6
Veracruz de Ignacio de la Llave,2018,4,-0.6,29.5,28.9
Yucatán,2018,4,0.4,37.3,37.7
Zacatecas,2018,4,-1.7,35.8,34.1
